,Tag Count
btl,376
isbn,305
bkinfo,376
jinfo,376
dt,376
pubinfo,376
atl,376
tig,376
au,739
aug,368
subj,1627
sug,376
pubtype,749
doctype,376
formats,375
artinfo,376
language,376
controlInfo,376
url,376
pLink,376
displayInfo,376
header,376
rec,376
ab,63
records,1
