year,# women,# men
2000,10522,26997
2001,12048,31549
2002,13690,36016
2003,15668,42258
2004,15066,44902
2005,12159,42429
2006,9939,38061
2007,7944,34652
2008,6884,32038
2009,6894,31602
2010,7306,32801
2011,7700,35886
